id,name,short_name,lat,lng,region
53,Beacon St / Mass Ave,Beacon St / Mass Ave,42.350851,-71.089886,Back Bay
55,Boylston / Mass Ave,Boylston / Mass Ave,42.347265,-71.088088,Back Bay
16,Back Bay / South End Station,Back Bay / South End Station,42.347433,-71.076163,Back Bay
21,Prudential Center / Belvidere,Prudential Center,42.345959,-71.082578,Back Bay
61,Boylston at Fairfield,Boylston at Fairfield,42.348323,-71.082674,Back Bay
36,Boston Public Library - 700 Boylston St.,Boston Public Library,42.349673,-71.077303,Back Bay
42,Boylston St. at Arlington St.,Boylston St / Arlington St,42.352096,-71.070378,Back Bay
50,Boylston St / Berkeley St,Boylston St / Berkeley St,42.350989,-71.073644,Back Bay
58,The Esplanade - Beacon St. at Arlington St.,The Esplanade,42.355596,-71.07278,Back Bay
10,B.U. Central - 725 Comm. Ave.,B.U. Central,42.350075,-71.105884,Fenway
11,Longwood Ave / Binney St,Longwood Ave / Binney St,42.338629,-71.1065,Fenway
19,Buswell Park,Buswell Park,42.347527,-71.105828,Fenway
14,Louis Pasteur / Longwood Ave,Louis Pasteur / Longwood Ave,42.337171,-71.102797,Fenway
3,Colleges of the Fenway,Colleges of the Fenway,42.340021,-71.100812,Fenway
34,Overland St at Brookline Ave,Overland St / Brookline Ave,42.346171,-71.099855,Fenway
33,Kenmore Sq / Comm Ave,Kenmore Sq / Comm Ave,42.349046,-71.096831,Fenway
45,Yawkey Way at Boylston St.,Yawkey Way / Boylston St,42.344763,-71.09788,Fenway
30,Brigham Cir / Huntington Ave,Brigham Cir / Huntington Ave,42.334073,-71.105221,Fenway
32,Landmark Centre,Landmark Centre,42.343912,-71.102221,Fenway
62,Longwood Ave/Riverway,Longwood Ave / Riverway,42.340299,-71.109927,Fenway
8,Union Square - Brighton Ave. at Cambridge St.,Union Square - Brighton Ave,42.353334,-71.137313,Allston
9,Agganis Arena - 925 Comm Ave.,Agganis Arena,42.351313,-71.116174,Allston
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,Harvard Real Estate,42.361667,-71.13802,Allston
37,New Balance - 38 Guest St.,New Balance - 38 Guest St,42.357247,-71.146452,Allston
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,Harvard University Housing,42.365074,-71.119581,Allston
18,Harvard Real Estate - 219 Western Ave. at North Harvard St.,219 Western Ave,42.36337,-71.129791,Allston
29,Innovation Lab - 125 Western Ave. at Batten Way,Harvard Innovation Lab,42.363732,-71.124565,Allston
41,Packard's Corner - Comm. Ave. at Brighton Ave.,Comm Ave / Brighton Ave,42.352261,-71.123831,Allston
66,Allston Green District - Commonwealth Ave & Griggs St,Comm Ave / Griggs St,42.348607,-71.13401,Allston
69,Coolidge Corner - Beacon St @ Centre St,Coolidge Corner,42.341598,-71.123338,Brookline
82,Brookline Town Hall / Library Washington St,Brookline Town Hall,42.333689,-71.120526,Brookline
86,Brookline Village - Station Street @ MBTA,Brookline Village @ MBTA,42.332799,-71.116205,Brookline
90,Lechmere Station at Cambridge St / First St,Lechmere Station,42.3707,-71.07711,Cambridge
91,One Kendall Square at Hampshire St / Portland St,One Kendall Square,42.366277,-71.09169,Cambridge
72,One Broadway / Kendall Sq at Main St / 3rd St,One Broadway / Kendall Sq,42.362613,-71.084105,Cambridge
80,MIT Stata Center at Vassar St / Main St,MIT Stata Center,42.362429,-71.090188,Cambridge
67,MIT at Mass Ave / Amherst St,MIT Mass Ave,42.3581,-71.093198,Cambridge
95,Cambridge St - at Columbia St / Webster Ave,Cambridge St / Columbia St,42.372969,-71.094445,Cambridge
75,Lafayette Square at Mass Ave / Main St / Columbia St,Lafayette Square,42.363562,-71.10042,Cambridge
88,Inman Square at Vellucci Plaza / Hampshire St,Inman Square,42.374035,-71.101427,Cambridge
68,Central Square at Mass Ave / Essex St,Central Square,42.36507,-71.1031,Cambridge
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge City Hall,42.366426,-71.105495,Cambridge
96,Cambridge Main Library at Broadway / Trowbridge St,Cambridge Main Library,42.373379,-71.111075,Cambridge
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Harvard Housing,42.366621,-71.114214,Cambridge
97,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,Harvard River Houses,42.369182,-71.117152,Cambridge
70,Harvard Kennedy School at Bennett St / Eliot St,Harvard Kennedy School,42.372244,-71.121851,Cambridge
73,Harvard Square at Brattle St / Eliot St,Harvard Square – Brattle,42.373231,-71.120886,Cambridge
74,Harvard Square at Mass Ave/ Dunster,Harvard Square – Mass Ave,42.373268,-71.118579,Cambridge
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,CambridgeSide Galleria,42.366981,-71.076472,Cambridge
89,Harvard Law School at Mass Ave / Jarvis St,Harvard Law School,42.379011,-71.119945,Cambridge
77,Somerville City Hall,Somerville City Hall,42.386428,-71.096413,Somerville
78,Union Square - Somerville,Union Square - Somerville,42.379637,-71.095319,Somerville
79,Beacon St at Washington / Kirkland,Beacon St / Washington,42.378551,-71.106541,Somerville
71,Conway Park - Somerville Avenue,Conway Park,42.383405,-71.107593,Somerville
94,Charlestown - Main St at Austin St,Charlestown - Main St,42.375603,-71.064608,Charlestown
98,Charlestown - Warren St at Chelsea St,Charlestown - Warren St,42.371848,-71.060292,Charlestown
